"table_catalog","table_schema","table_name","table_type","self_referencing_column_name","reference_generation","user_defined_type_catalog","user_defined_type_schema","user_defined_type_name","is_insertable_into","is_typed","commit_action"
"DVD","public","actor","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","actor_info","VIEW",NULL,NULL,NULL,NULL,NULL,"NO","NO",NULL
"DVD","public","customer_list","VIEW",NULL,NULL,NULL,NULL,NULL,"NO","NO",NULL
"DVD","public","film_list","VIEW",NULL,NULL,NULL,NULL,NULL,"NO","NO",NULL
"DVD","public","nicer_but_slower_film_list","VIEW",NULL,NULL,NULL,NULL,NULL,"NO","NO",NULL
"DVD","public","sales_by_film_category","VIEW",NULL,NULL,NULL,NULL,NULL,"NO","NO",NULL
"DVD","public","store","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","sales_by_store","VIEW",NULL,NULL,NULL,NULL,NULL,"NO","NO",NULL
"DVD","public","staff_list","VIEW",NULL,NULL,NULL,NULL,NULL,"NO","NO",NULL
"DVD","public","address","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","category","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","city","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","country","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","customer","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","film_actor","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","film_category","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","inventory","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","language","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","rental","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","staff","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","payment","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
"DVD","public","film","BASE TABLE",NULL,NULL,NULL,NULL,NULL,"YES","NO",NULL
